input,output,reaction,name,schemaClass,module
R-HSA-166719,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-166719,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855134,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-2855106,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-166724,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-2855080,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-HSA-2855065,R-HSA-2855064,R-HSA-166726,Activation of MASPs,Reaction,Immune System
R-ALL-166718,R-HSA-166719,R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-HSA-166710,R-HSA-166719,R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-ALL-74112,R-HSA-166719,R-HSA-166721,"MBL binds to repetitive carbohydrate structures on the surfaces of viruses, bacteria, fungi, and protozoa",Reaction,Immune System
R-ALL-2855095,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855132,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855084,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-ALL-2855066,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
R-HSA-2855087,R-HSA-2855065,R-HSA-2855054,Ficolin-2 binds to molecular patterns on the target cell surface ,Reaction,Immune System
